Common Name,Scientific Name,Population Name,Taxon Group,SARA Status,Final Recovery Document Date,Reassessment Date,Recovery Document Objectives,Species Data,Rationale,Are Trends Consistent With Objectives?
Blackstripe Topminnow,Fundulus notatus,,"Fish, freshwater",Special Concern,19/10/2009,01/05/2012,"Maintain, or enhance, existing populations and improve the quality and quantity of their associated habitats.","A population estimate is not available, but the population appears to be stable. Capture records since the 1970s do not suggest a decline in abundance, although direct comparison is complicated by a broader sampling effort.",Canadian population appears to be stable.,Yes
Black-tailed Prairie Dog,Cynomys ludovicianus,,Mammal,Threatened,19/06/2009,14/03/2018,Ensure the population maintains at least a 90% probability of persistence for the next 100 years.,"A monitoring program has been implemented to measure population densities, area occupied and occurrence of sylvatic plague. The area occupied by Black-tailed Prairie Dogs has fluctuated but all colonies remain active. There is no data on population trends.",No data on population trends. Species status was changed from Special concern to Threatened.,No
Blanchard's Cricket Frog,Acris blanchardi,,Amphibian,Endangered,16/02/2011,01/05/2011,Determine if the Blanchard's Cricket Frog is still present in its Canadian range Determine whether suitable habitat for reintroduction still exists.,"The species is known in Canada from only at a single site on Pelee Island: Fish Point Provincial Nature Reserve. Over the last 2 decades, observations and auditions have been reported sporadically from Fish Point, including 1 as recently as 1997. Unfortunately, none of these more recent reports are supported by photographs or audio recordings of calling frogs. The lack of confirmed reports, coupled with the relatively small size of Fish Point and the short lifespan of individual frogs has led a number of authors to suggest that it has been extirpated from Canada.",No new sightings of this species in Canada have been recorded.,Operational goals
Blanding's Turtle,Emydoidea blandingii,Nova Scotia population,Reptile,Endangered,08/02/2012,01/11/2016,Achieve a self-sustaining population over the current Nova Scotia range. Maintain or increase recruitment and adult survivorship.,"The slow life-history of this long-lived species means that this population has not yet recovered from mortality occurring decades ago. However, recovery efforts have increased the number of young turtles in the main population.",Adult numbers have continued to decline but recovery efforts have increased the number of young turtles.,Mixed evidence
Blue Whale,Balaenoptera musculus,Northwest Atlantic population,Mammal,Endangered,02/02/2010,18/04/2016,Reach a population size of 1000 mature individuals.,A total of 16 Blue Whales were sighted during a 2007 Department of Fisheries and Oceans survey. Too few sightings were obtained to derive an estimate of abundance but the low number of sightings is consistent with previous estimates suggesting there are fewer than 250 mature individuals. No trend has been evident. A total of 402 individual blue whales have been identified in the Gulf of St. Lawrence between 1980–2008. It is unclear whether they were mature individuals or not. An 11% yearly increase in sightings was documented in the Gully over the 23-year period.,The population is estimated to contain fewer than 250 mature individuals; however further data on changes in population size is needed to determine if progress has been made.,Insufficient data to determine trends
Blue Whale,Balaenoptera musculus,Pacific population,Mammal,Endangered,14/07/2006,29/11/2013,"Attain a long-term viable population of Blue Whales that use Pacific Canadian waters. Long-term goals must span several generations, and therefore have a horizon of 150–300 years.","A handful of photo-identified Blue Whales in British Columbia and the Gulf of Alaska indicate the potential re-establishment of historic feeding grounds. What is believed to be Blue Whale foraging behaviour has primarily been observed in late summer and fall in Washington and British Columbia waters. That seasonal presence is consistent with recently recorded acoustic data, but direct observations from ship-based visual surveys and historical records show their occurrence in Pacific Canadian waters from late spring through late summer.",The relative proportion of Blue Whales is yet unknown because of the limited number of observations gathered since commercial whaling ceased.,Insufficient data to determine trends
Bolander's Quillwort,Isoetes bolanderi,,"Vascular plant, herb",Threatened,07/02/2011,06/02/2018,"Maintain the three self-sustaining populations (Summit Lake, Upper and Lower Boundary Creek Ponds) and, if feasible, to restore the extirpated population (Carthew Pond).","Monitoring shows a steady, increasing population at Summit Lake and Lower Boundary Pond. Monitoring of Upper Boundary Pond indicates a decrease in cover but an increase in presence at sample locations.",The three existing populations have been maintained.,Yes
Boreal Felt Lichen,Erioderma pedicellatum,Atlantic population,Lichen,Endangered,20/06/2007,01/11/2014,Maintain thalli and habitat at sites where Boreal Felt Lichen is known to occur.,Eleven of the 41 occurrences found between 2003 and 2011 are now extirpated. These declines are projected to continue in the future.,Both the number of occurrences and number of individuals are declining. Available habitat has declined between 1988 and 2005.,No
Boreal Felt Lichen,Erioderma pedicellatum,Boreal population,Lichen,Special Concern,08/09/2010,01/11/2014,"Maintain and enhance where necessary, self-sustaining populations within the species' current geographic distribution.","Increases are occurring in some areas, and declines in others. Conclusions about trends are complicated by the discovery of many thalli in new areas as a result of increased search effort.",It is not clear whether observed increases at some sites offset the declines observed at other sites.,Mixed evidence
Bridle Shiner,Notropis bifrenatus,,"Fish, freshwater",Special Concern,20/06/2011,12/04/2017,"Maintain and enhance populations and their habitats, to ensure that viable populations are present throughout the species' current and historic range in Canada.","Population sizes have not been estimated in Canada, and trends are difficult to determine due, in part, to difficulties in species identification. It has been found at many new locations, likely due increased identification of the species rather than an increase in range.",Population sizes have not been estimated in Canada.,Insufficient data to determine trends
Brook Spike-primrose,Epilobium torreyi,,"Vascular plant, herb",Endangered,21/06/2013,01/11/2018,Maintain habitat at Craigflower Meadow site while feasibility of population restoration is assessed. Establish and/or augment populations to increase abundance and distribution 4 if determined to be feasible and biologically appropriate for Brook Spike-primrose.,No individuals have been found at either of the two sites since 1993. Possible viable seeds are in the soil and may germinate when conditions are right.,No individuals have been found at either of the two sites since 1993,Operational goals
Buffalograss,Bouteloua dactyloides,,"Vascular plant, herb",Special Concern,20/11/2007,01/11/2011,Maintain the persistence of all naturally occurring populations in Canada.,"The size of each Buffalograss clone fluctuates with changes in moisture and nutrients, expanding when availability is high and contracting when it is low. The population is now known to be considerably larger than was estimated in 1998, likely reflecting increased survey effort. Whether Buffalograss in Canada has been spreading or declining is unknown.",Population trends in Canada are unknown.,Insufficient data to determine trends
Burrowing Owl,Athene cunicularia,,Bird,Endangered,25/05/2012,01/04/2017,"Reverse population declines. Maintain a self-perpetuating, well-distributed population of at least 3000 breeding pairs. Re-establish wild breeding populations in British Columbia and Manitoba.",Populations declined from at least 795 individuals in 2004 to 270 in 2015. A few owls from captive breeding and release programs in British Columbia and Manitoba have been sighted in the wild.,Populations are declining but owls have been reintroduced to previous parts of their range.,Mixed evidence
Butternut,Juglans cinerea,,"Vascular plant, tree",Endangered,01/10/2010,01/04/2017,"Ensure conditions that will allow for the restoration of viable, ecologically functioning, and broadly distributed populations within its current range.","Butternut populations may not be currently viable due to high rates of infection and mortality caused by the butternut canker. Restoration requires disease-free butternut stands or trees. At present, the conditions required to achieve and ensure disease-free populations are unknown.",n/a,Operational goals
Carmine Shiner,Notropis percobromus,,"Fish, freshwater",Threatened,27/02/2008,13/07/2015,"Maintain populations at their current abundance and distribution within the Whitemouth, Birch and Winnipeg river systems.","There is no evidence to date that populations have suffered any serious decline in abundance or distribution over time. However, there is a projected decline in population over the next 10 years. The COSEWIC status changed from Threatened in 2006 to Endangered in 2018.",The population appears to be stable.,Yes
Channel Darter,Percina copelandi,St. Lawrence populations,"Fish, freshwater",Threatened,08/11/2013,24/10/2017,"Maintain existing populations in Ontario and Quebec and restore self-sustaining populations to formerly occupied habitats, where feasible.","The Channel Darter is found at low abundances throughout its range, and evidence suggests that abundances are generally declining throughout the Canadian range of the species.",Populations are likely declining.,No
Coastrange Sculpin,Cottus aleuticus,Cultus population,"Fish, freshwater",Threatened,04/10/2007,12/10/2016,"Ensure the long-term viability of the population in the wild. Maintain, and where possible enhance, the ecological integrity of habitat.",The abundance is unknown. Trends in indices of abundance suggest a persistent decline from 1975 to 2004.,The species appears to have declined in abundance.,No
Columbia Sculpin,Cottus hubbsi,,"Fish, freshwater",Special Concern,24/01/2012,08/09/2017,Ensure long-term viability across its extant distribution in the wild.,"The historic distribution in Canada is assumed to be similar to its present-day distribution, but habitat alterations from flow regulation have been significant in the Columbia and Kootenay Rivers, and it is possible that historic distribution differed.","Through the implementation of several conservation actions, progress has been made towards achieving the management goal of ensuring long-term viability of Columbia Sculpin in British Columbia.",Yes
Columbian Carpet Moss,Bryoerythrophyllum columbianum,,Moss,Special Concern,17/02/2012,01/11/2014,Maintain known populations.,Detailed population data do not exist; new occurrences have been located and some may be extirpated.,Detailed population data do not exist.,Insufficient data to determine trends
Common Hoptree,Ptelea trifoliata,,"Vascular plant, tree",Special Concern,17/04/2012,01/11/2015,"Maintain populations in 7 core areas. Ensure that the number of mature individuals does not decline below 1000 and where feasible, increase smaller populations that are currently considered unviable.","Population trend is unknown but, within sites where subpopulation data are available, the number of mature individuals appears to have increased by approximately 200%. Numbers at 9 sites are increasing, 3 sites were extirpated, 34 sites lack trend information, 11 previously undocumented sites were recorded and 2 of the 3 sites identified as extirpated in 2002 were rediscovered.","Some subpopulations have increased, some were extirpated and previously undocumented sites were recorded.",Mixed evidence
Common Nighthawk,Chordeiles minor,,Bird,Threatened,04/03/2016,01/04/2018,"Halt the national decline by 2025, while ensuring the population does not decrease more than 10% over this time. The long-term objective is to ensure a positive 10-year population trend. Maintain the current extent of occurrence.","The population has declined by 68% between 1970 and 2015, but the rate of decline has slowed appreciably to 12% over the 10-year period (2005-2015). The species appears to be quite abundant in suitable boreal habitats.",Decline has slowed in the past decade. The species appears to be abundant in suitable habitats.,Yes
Copper Redhorse,Moxostoma hubbsi,,"Fish, freshwater",Endangered,20/06/2012,01/05/2014,Attain a population of 4000 mature individuals by 2032.,"The Copper Redhorse is known from only 3 locations, 1 of which is extirpated. Since the mid-1980s, the population has declined significantly. The total number of mature individuals appears to be several thousand at the most, but the population is aging and there are very few young individuals. Virtually no juveniles have been caught in the last 30 years. An artificial reproduction and stocking program was implemented in 2004, but it is too early to draw conclusions about its success.",No increase in population abundance and 1 location has been extirpated.,No
Cryptic Paw Lichen,Nephroma occultum,,Lichen,Special Concern,18/09/2012,01/05/2019,"Goal is to maintain all known extant populations of Cryptic Paw Lichen in British Columbia. Objectives: habitat protection, inventory suitable habitat, mitigate threats and clarify population demographics and establish monitoring protocols","Total subpopulations from habitat-based estimates are for the Interior BC 1,351 thalli, Northwestern BC 2,294 thalli and Coastal BC 7,557 thalli. Projected decline of at least 30% over 60 years",Projected trends in habitat loss and edge effects project a decline of more than 30% in 60 years,No
Cucumber Tree,Magnolia acuminata,,"Vascular plant, tree",Endangered,20/06/2007,01/04/2010,"By 2012, protect existing natural populations and their habitats. By 2032, increase population size to 50 reproductive individuals in at least 2 sites within each of 2 regions.","Overall, populations appear to be at a steady state, with several sites showing increases and some decreases. The estimated number of canopy trees (excludes saplings and seedlings) has increased from fewer than 50 trees in 1984, to 186 in 1998?2001, to 188 in 2008.",Ontario populations appear to be at a steady state. Large trees have increased in number.,Yes
Dakota Skipper,Hesperia dacotae,,Insect,Endangered,20/11/2007,01/05/2014,Maintain current population numbers and prevent any further loss of populations or distribution.,"In 2012, population size in Canada was estimated to be 14?000 individuals in 3 population centres. This is a decrease from 2002, when the population size was estimated between 28?500 and 40?500 individuals in 3 or 4 populations.",Population has declined.,No
Deepwater Sculpin,Myoxocephalus thompsonii,Great Lakes - Western St. Lawrence populations,"Fish, freshwater",Special Concern,22/12/2016,01/04/2017,Ensure the long-term persistence of Deepwater Sculpin throughout its current and historical distribution in the Great Lakes – Western St. Lawrence DU.,"Population estimates for Deepwater Sculpin in Canada are not available. Outside of efforts in the Great Lakes (predominately in American waters), Deepwater Sculpin has not been sampled extensively in a standardized manner and, hence, estimating population sizes and trends is not possible at this time.",Population sizes have not been estimated in Canada.,Insufficient data to determine trends
Deltoid Balsamroot,Balsamorhiza deltoidea,,"Vascular plant, herb",Endangered,11/08/2006,01/04/2009,Maintain existing populations at their current levels of abundance or greater. Restore Deltoid Balsamroot to its approximate historical extent of occurrence and area of occupancy and establish at least 2 new self-sustaining populations.,"In 2007 there were 1589 plants in Canada that were large enough to flower. Most populations appear to be relatively stable since 1996. However, the largest population declined from a peak of about 1700 plants in 1992 to 345 plants in 2007, as a result of commercial development of the site. The sharp decline at this site accounts for most of a 35 to 40% decline in the total Canadian population since 1996.",There is a sharp decline in the total Canadian population.,No
Dwarf Wedgemussel,Alasmidonta heterodon,,Mollusc,Extirpated,27/09/2007,01/11/2009,Not feasible,Extirpated 1968.,n/a,Not feasible
Eastern Mountain Avens,Geum peckii,,"Vascular plant, herb",Endangered,28/04/2010,01/04/2010,Protect and maintain extant populations at current or greater levels of abundance with no reduction of current range. Improve conditions and enhance populations at occupied sites.,"The number of mature individuals is estimated to be less than 9000 within 2 populations (18 subpopulations); note these plants grow closely together in patches and individuals are difficult to distinguish. The area occupied in the larger population has declined due to gull nesting and tree and shrub incursion. Some sites cannot be relocated and may have disappeared. Eight new sites found since 1985 likely represent new information rather than newly occupied sites. Overall, 1 population is in decline, the other appears relatively stable.","Overall, 1 population has declined, the other appears stable.",Mixed evidence
Eastern Prickly Pear Cactus,Opuntia humifusa,,"Vascular plant, herb",Endangered,30/11/2010,19/02/2018,Maintain the number of microsites (345) in Point Pelee National Park over the next 5 years and increase total number of microsites by 5% over the next 10 years. Maintain population size (5 microsites) at Fish Point Provincial Nature Reserve on Pelee Island over the next 5 years.,"At Fish Point, the 5 microsites continue to persist as of 2013, a follow-up survey will be completed in 2018. Surveys were completed for Point Pelee National Park in 2005 and 2015-2017, however the results are not yet available.",Trends cannot be determined.,Insufficient data to determine trends
Eastern Ribbonsnake,Thamnophis sauritus,Atlantic population,Reptile,Threatened,08/02/2012,01/11/2012,Maintain populations at known locations. Achieve a self-sustaining population with a 95% probability of persistence across its current range. Maintain or expand the current distribution of wetlands used by Eastern Ribbonsnakes in southwestern Nova Scotia.,"There is limited evidence that some populations may be declining in parts of Nova Scotia. Eastern Ribbonsnakes appear to have disappeared from 1 site in Nova Scotia, which in the 1980s contained the highest known density of these snakes in the province. The known extent of occurrence has increased considerably, due to increased search efforts.",Long-term population trends could not be established. There is limited evidence that some populations may be declining.,Insufficient data to determine trends
Eastern Sand Darter,Ammocrypta pellucida,Ontario populations,"Fish, freshwater",Threatened,19/10/2012,13/09/2018,"Maintain self-sustaining, extant populations and to restore self-sustaining populations to formerly occupied habitats where feasible.","For the first time, Eastern Sand Darter has been detected in the Detroit River. Furthermore, sampling conducted within West Lake, Prince Edward County by the Ontario Ministry of Natural Resources and Forestry (OMNRF) has led to the first detection of Eastern Sand Darter within the Lake Ontario watershed.",Targeted sampling is required to generate robust quantitative estimates of Eastern Sand Darter population sizes in order to set meaningful population and distribution objectives.,Insufficient data to determine trends
Eastern Sand Darter,Ammocrypta pellucida,Quebec populations,"Fish, freshwater",Threatened,29/04/2014,01/11/2009,"The objective over the longer term (i.e., 20 years) is to promote the growth of existing populations to ensure their viability and, wherever possible, to restore historical populations that have disappeared.","In Québec, trends in Eastern Sand Darter populations are largely unknown due to a lack of recent sampling in several river systems.","The lack of records despite recent sampling in Rivière Châteauguay suggests that the Eastern Sand Darter may have declined in this river. New locations have recently been discovered in Rivière Ouareauof the L'Assomption drainage, Missisquoi Bay of Lac Champlain in the Richelieu drainage, and Rivière aux Saumons. It is not possible to assess trends in five Québec rivers due to lack of recent sampling.",Insufficient data to determine trends
Eastern Yellow-bellied Racer,Coluber constrictor flaviventris,,Reptile,Threatened,27/10/2010,01/11/2015,Maintain the species' distribution within Canada.,The population has declined as a result of a 2011 terrain slumping event in Grassland National Park that killed and displaced snakes from the largest known den of this subspecies in Canada.,The population has declined since 2011.,No
Enos Lake Benthic Threespine Stickleback,Gasterosteus aculeatus,,"Fish, freshwater",Endangered,20/07/2007,12/10/2016,"Establish captive populations of the Enos Lake species pair. Establish or recover a viable population of the Enos Lake species pair, preferably in Enos Lake.","Since at least 1994, the distinctions between benthics and limnetics as assayed using genetic and morphological techniques have declined dramatically such that genetically pure forms of both species are thought to no longer exist and have been replaced by hybrids. The estimated total population size of sticklebacks is on the order of at least 20 000 mature individuals. Without further massive sampling and analytical efforts, it is impossible at present to disprove the idea that some “genetically pure” benthics and limnetics may remain within Enos Lake. There are no pure Enos Lake Benthic Threespine Sticklebacks in captivity.",It is unlikely that genetically pure benthics remain in Enos Lake and no captive populations have been established.,No
Enos Lake Limnetic Threespine Stickleback,Gasterosteus aculeatus,,"Fish, freshwater",Endangered,20/07/2007,12/10/2016,"Establish captive populations of the Enos Lake species pair. Establish or recover a viable population of the Enos Lake species pair, preferably in Enos Lake.","Since at least 1994, the distinctions between benthics and limnetics as assayed using genetic and morphological techniques have declined dramatically such that genetically pure forms of both species are thought to no longer exist and have been replaced by hybrids. The estimated total population size of sticklebacks is on the order of at least 20 000 mature individuals. Without further massive sampling and analytical efforts, it is impossible at present to disprove the idea that some “genetically pure” benthics and limnetics may remain within Enos Lake. Enos Lake Limnetic Threespine Sticklebacks exist at another site, but these appear to have diverged from the parent population.",It is unlikely that genetically pure limnetics remain in Enos Lake and a captive population appears to be different.,No
Ermine haidarum subspecies,Mustela erminea haidarum,,Mammal,Threatened,22/07/2011,01/05/2015,"Maintain or restore a self-sustaining, wild population across its historical range by 2036.","Recent results, when compared to historical trapping records, suggest a decline in numbers.",A historical population decline since the 1950s is inferred.,No
Eskimo Curlew,Numenius borealis,,Bird,Endangered,20/06/2007,01/11/2009,"Recovery is not feasible for this species at this time. Determination of recovery feasibility will be re-evaluated in response to changing conditions and/or knowledge (that is, if Eskimo Curlews are located).","Dramatic declines in numbers were observed in the 1870s to 1890s, after which Eskimo Curlews became very rare. No nests have been reported for over 100 years, despite extensive surveys in historical breeding areas. Although there have been a number of sightings reported in recent decades, mostly during migration, there have been no fully substantiated records since 1963, when a bird was collected in Barbados.",n/a,Not feasible
Felt-leaf Willow,Salix silicicola,,"Vascular plant, herb",Special Concern,18/12/2013,01/04/2018,Maintain current population density and area of occupancy.,Population estimated to be 2 340 000 to 37 070 000 individuals. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Fernald's Braya,Braya fernaldii,,"Vascular plant, herb",Endangered,06/07/2012,01/11/2012,Maintain populations within the current species range.,"A survey between 1996 and 2000 estimated that there were 3434 flowering Fernald's Braya. The same 15 populations counted 8–12 years later contained only 1242 mature plants (a 64% decline). An additional population not known during the first survey (Green Island Brook) contained 2056 mature plant. However, the Green Island Brook population occurs in a site disturbed by human activity and may only persist by immigration from outside populations. The population size of Fernald's Braya continues to decline, based on permanent monitoring plots.",Population size is declining.,No
Fin Whale,Balaenoptera physalus,Atlantic population,Mammal,Special Concern,25/01/2017,01/05/2019,The objective of the present management plan is to ensure that anthropogenic threats in Canadian waters do not provoke a decline in the population or a reduction in the currently observed Canadian range.,Fin Whale abundance in the North Atlantic and North Pacific appears to be recovering following severe depletion from commercial whaling in the 20th century.,"Although no abundance trend is available for the Canadian Pacific, surveys in neighbouring US waters show increasing abundance at an annual average of 7.5% off the US mainland west coast and 4.8% off Alaska.",Yes
Fin Whale,Balaenoptera physalus,Pacific population,Mammal,Threatened,14/07/2006,29/11/2013,Attain a population viable in the long term that uses Canadian Pacific waters.,"Currently sighted only infrequently. Whaling took thousands of animals through the 1970s. Based on the severe depletion and lack of sufficient time for recovery, it is inferred that present population is below 50% of its level, 60–90 years ago.",Population trends are unknown.,Insufficient data to determine trends
Floccose Tansy,Tanacetum huronense var. floccosum,,"Vascular plant, herb",Special Concern,18/12/2013,01/04/2018,Maintain current population density and area of occupancy.,Population estimated to be 2 780 000 to 21 380 000 individuals in the core Athabasca sand dunes complex. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Flooded Jellyskin,Leptogium rivulare,,Lichen,Special Concern,25/02/2013,01/11/2015,Maintain the size and distribution of currently known extant populations.,"Trends in the Canadian range or abundance cannot be assessed, owing to the scarcity of historical data. Increased search efforts have increased the number of known occurrences to 76. A former occurrence at Wawa is extirpated.",One location has been extirpated.,No
Frosted Elfin,Callophrys irus,,Insect,Extirpated,06/03/2019,01/05/2019,Maintain and/or increase sufficient suitable habitat to support a metapopulation (20-30yrs),Species has not been observed since 1988.,Species has not been observed since 1988.,Operational goals
Frosted Glass-whiskers,Sclerophora peronella,Atlantic population,Lichen,Special Concern,29/06/2011,01/11/2014,"Maintain the 2 known Nova Scotia occurrences, as well as any other populations that are discovered in Nova Scotia.","Increased survey effort has found this species at additional sites. Although habitat availability is thought to be declining, no known sites have been lost.",Known occurrences have been maintained.,Yes
Furbish's Lousewort,Pedicularis furbishiae,,"Vascular plant, herb",Endangered,23/06/2010,01/05/2011,"By 2020, maintain the existing populations at a minimum of 200 individuals per segment in river segments between Grand Falls and Perth Andover, maintain the number of individuals at a minimum of 250 between the International border and Grand Falls, and maintain the number of individuals at a minimum of 250 at the upland site near Aroostook. By 2020, establish self-sustaining populations in additional river segments within its range.","Available data suggests relative stability in population numbers from 1977 to 2002, followed by possible declines between 2001–2002 and 2008–2010. Because of its dynamic habitat and poor competitive ability, local extinctions and colonization events are expected over time. Since 2003, monitoring at known sites, through restricted scope, suggest that the population may still be in decline. Changes to river dynamics, land clearing of buffer trees, recreational activities, and the introduction of invasive species have resulted in continuing population decline at the existing sites.",Populations continue to decline at existing sites.,No
Gold-edged Gem,Schinia avemensis,,Insect,Endangered,13/03/2014,01/11/2016,Maintain or increase the distribution in Canada.,"The number of occupied sites appears to be relatively stable, but likely has declined from historical levels due to habitat loss. There are too few data for useful population estimates.","There is insufficient information to determine population trends, although habitat continues to decline.",Insufficient data to determine trends
Golden Paintbrush,Castilleja levisecta,,"Vascular plant, herb",Endangered,11/08/2006,01/11/2007,"Attain viable, self-sustaining populations distributed throughout its historic range in Canada. Achieve a minimum of at least 9 populations, maintaining the 2 existing populations at their current levels of abundance, and establishing at least 7 new populations.","Golden Paintbrush has been reported from 8 locations in Canada, only 2 of which have extant populations. Based on the most recent data there was a total of 3361 flowering plants in Canada in 2006. This appears to represent a population decline of about 25% over the past 10 years.",Decline in population size is inconsistent with goal of attaining self-sustaining populations at existing sites. No new populations have been established.,No
Goldencrest,Lophiola aurea,,"Vascular plant, herb",Special Concern,08/09/2010,01/05/2012,Maintain extant populations at present levels of abundance or greater.,"The total Canadian population includes hundreds of thousands of rosettes, although the number of genetic individuals is certainly much lower. Populations occur near lakes and are almost certainly slowly declining with shoreline development.",Population size is declining slowly.,No
Grass Pickerel,Esox americanus vermiculatus,,"Fish, freshwater",Special Concern,27/04/2012,01/11/2014,Ensure the long-term persistence throughout its distribution in Canada. Maintain and increase existing populations.,"There is likely a decline in the population size of 3 of the 13 subpopulations. In 2014, a sub-population was confirmed to exist in Quebec where it was last detected in 1988. The current range remains lower than the long-term historical records.",There is a decline in the abundance within 3 subpopulations and the range has also decreased.,No
Gravel Chub,Erimystax x-punctatus,,"Fish, freshwater",Extirpated,27/02/2008,01/05/2019,"Confirm that gravel chub is no longer present, examine habitat conditions, threats and feasibility of reintroduction.",Gravel Chub was not detected but permission to survey an important site was not received.,n/a,Operational goals
Greater Sage-Grouse urophasianus subspecies,Centrocercus urophasianus urophasianus,,Bird,Endangered,14/01/2008,01/04/2008,"No loss of numbers or active leks in any portion of the current Canadian range (a lek is a traditional area where males congregate in spring to compete for mates). By 2012, all populations show a positive trend in the number of strutting males at leks and the number of active leks. By 2026, achieve a stable or increasing population with at least 865 strutting males at leks, and at least 46 active leks.","Greater Sage-Grouse populations in Canada appear to be cyclic; however, inconsistent monitoring between years and provinces make it difficult to assess these cycles and annual rates of change. The overwhelming trend appears to be one of decline. From 1988 to 2006, the total Canadian population declined 88%.",Population and number of occupied leks are in decline.,No
Greater Short-horned Lizard,Phrynosoma hernandesi,,Reptile,Endangered,31/07/2015,01/11/2018,Maintain populations in all of the critical habitat polygons within the 8 currently known areas of occupancy of the species plus any new populations discovered in the future,"Current trends in population size and habitat quality is unknown. Some subpopulations are presumed extirpated near Medicine Hat. Surveys have noted increases and decreases in subpopulations, however presence of lizards have not been confirmed in areas near Medicine Hat.","Recent declines are evident in local areas, particularly around Medicine Hat (subpopulations presumed extirpated).",No
Grey Whale,Eschrichtius robustus,Atlantic population,Mammal,Extirpated,27/09/2007,01/11/2009,Not feasible,n/a,n/a,Not feasible
Grey Whale,Eschrichtius robustus,Eastern North Pacific population,Mammal,Special Concern,13/01/2011,01/03/2019,"Maintain the current known distribution, and migration route of Grey Whales in Pacific Canadian waters.",n/a,n/a,Insufficient data to determine trends
Haller's Apple Moss,Bartramia halleriana,,Moss,Threatened,20/10/2010,01/11/2011,"Maintain or increase population sizes at all 10 existing locations. Where feasible, reintroduce the species to previous locations with suitable or capable habitat.","In November 2001, 4 populations (3 recent, 1 historic) were known. Twelve additional populations had been located by November 2011. One population has become extirpated recently with a minimum loss of 1 colony. Thus, 15 populations are confirmed extant and 1 is extirpated, for a total of 16 populations. One population appears to be declining. Currently, 9 populations appear to be stable and trends for the 5 most recently discovered populations are unknown. The current abundance estimate totals 1173 mature individuals (colonies).","Currently, 9 populations appear to be stable; trends for the 5 most recently discovered populations are unknown.",Yes
Harbour Porpoise,Phocoena phocoena,Pacific Ocean population,Mammal,Special Concern,12/04/2009,02/10/2018,Maintain a self-sustaining population within its known range in Pacific waters of Canada.,There are no systematic survey data or population trends. A population of 9120 porpoises was estimated during 2004 and 2005 in British Columbia coastal waters (excluding west coast of Vancouver Island and Haida Gwaii).,Population trends are unknown.,Insufficient data to determine trends
Harbour Seal Lacs des Loups Marins subspecies,Phoca vitulina mellonae,,Mammal,Endangered,08/06/2018,01/04/2018,The distribution objective of this strategy is to maintain the present range of the Lacs des Loups Marins Harbour Seal.,There are no reliable estimates of the abundance of Lacs des Loups Marins Harbour Seals because little information is available. Range-wide abundance trends cannot presently be calculated.,Population trends are unknown.,Insufficient data to determine trends
Harlequin Duck,Histrionicus histrionicus,Eastern population,Bird,Special Concern,20/06/2007,01/11/2013,Maintain a wintering population of 3000 Harlequin Ducks in eastern North America for 3 of 5 consecutive years.,"An estimated 3226 to 3420 Eastern population adults winter along the east coast of North America. All birds from this wintering population originate from Canadian breeding areas. Though still small relative to historical levels, this wintering population has increased since cessation of hunting in 1990. The population trend from 1981 to 2013 for birds wintering in eastern North America is estimated to be increasing at about 5% per year.","Population size is increasing, and appears to have met the population levels outlined in the goals.",Yes
Hart's-tongue Fern,Asplenium scolopendrium,,"Vascular plant, fern",Special Concern,30/04/2013,01/11/2016,Maintain extant populations at their current abundance and distribution.,"The Canadian population is estimated to be more than 110 000 individuals. Abundance was not calculated in the past, so it is not possible to know if there has been any change.",Population trends are unknown.,Insufficient data to determine trends
Henslow's Sparrow,Ammodramus henslowii,,Bird,Endangered,18/08/2010,01/05/2011,"By 2015, to achieve at least 1 stable breeding population of 5 to 10 pairs. The recovery strategy was amended on 15 September 2010. No changes were made to the recovery goals established earlier in 2010.",The abundance and breeding distribution of the Henslow's Sparrow have undergone marked fluctuations in response to changes in habitat availability. Observations since 1985 are too few to determine recent trends. There are no indications of any increase for the period 2000 to 2011.,Data are too few to determine recent trends.,Insufficient data to determine trends
Hoary Mountain-mint,Pycnanthemum incanum,,"Vascular plant, herb",Endangered,20/11/2007,01/11/2011,Increase size of existing populations to self-sustaining levels.,"No decline in mature individuals is documented, and owing to new discoveries, the population now includes more than 250 individuals. There are 2 populations of this species known to be extant. An additional subpopulation was newly discovered in 2010, and appears to have become established from an existing seed bank following site restoration initiated in fall 2008. At the time of assessment it contained 15 seedlings.",Population sizes are not sufficiently well documented to indicate trends. ,Insufficient data to determine trends
Hooded Warbler,Setophaga citrina,,Bird,Not at risk,17/02/2012,01/05/2012,"Increase the number of breeding pairs to 500, distributed within the species' current Ontario range.","Data from all sources show a consistent pattern of strong increases in the abundance and distribution of the population in Canada. The Canadian population in 2013 is estimated to be between 500 and 1000 breeding pairs. Searches at known and potential breeding locations documented ongoing increases in population size, number of occupied sites, and breeding distribution.",Increasing population has reached recovery goals.,Yes
